vOTU_ID	VIBRANT_quality	CheckV_completeness	contig_length	gene_count	predicted_temperate	ViralOrder	ViralFamily	ViralGenus	HostPhylum	HostClass	HostOrder	HostFamily	HostGenus	HostSpecies	number_of_soil_types_where_detected	detected_in_dry_soils	detected_in_wet_soils
WUA_VD25_contig_94798	circular	NA	14022	24	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD25_contig_95535	circular	100	44053	75	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD25_contig_95858	circular	8.79	13760	17	FALSE	Unclassified	Unclassified	Unclassified	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Palsa-465	Unassigned	1	FALSE	TRUE
WUA_VD25_contig_95870	circular	17.57	14643	19	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD26_contig_112970	circular	100	34049	47	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	2	FALSE	TRUE
WUA_VD26_contig_113905	circular	100	41466	63	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD26_contig_113915	circular	100	59085	120	FALSE	Caudovirales	Siphoviridae	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD26_contig_113944	circular	18.73	16092	20	FALSE	Unclassified	Unclassified	Unclassified	Actinobacteriota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Unclassified	1	FALSE	TRUE
WUA_VD26_contig_114169	circular	NA	16867	22	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD26_contig_11756	circular	6.77	16666	38	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	2	FALSE	TRUE
WUA_VD26_contig_43479	circular	17.31	14421	20	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD26_contig_55078	circular	78.14	53487	80	TRUE	Unclassified	Unclassified	Unclassified	Actinobacteriota	Actinomycetia	Propionibacteriales	Nocardioidaceae	Nocardioides	Nocardioides psychrotolerans	1	FALSE	TRUE
WUA_VD26_contig_75773	circular	100	42898	75	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD27_contig_111222	circular	18.88	20770	38	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD27_contig_111296	circular	10.09	10058	16	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD27_contig_111308	circular	15.37	14489	18	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD27_contig_15344	circular	100	25797	31	FALSE	Unclassified	Unclassified	Unclassified	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Dickeya	Unclassified	1	FALSE	TRUE
WUA_VD27_contig_20162	circular	100	16843	25	FALSE	Caudovirales	Siphoviridae	Decurrovirus	Actinobacteriota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Unclassified	1	FALSE	TRUE
WUA_VD27_contig_55332	circular	100	49557	79	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD27_contig_63774	circular	100	44901	69	FALSE	Unclassified	Unclassified	Unclassified	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	Unclassified	2	FALSE	TRUE
WUA_VD27_contig_6916	circular	100	62810	95	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD27_contig_75936	circular	100	16673	25	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	2	FALSE	TRUE
WUA_VD27_contig_78247	circular	18.7	11321	14	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD27_contig_8107	circular	52.6	39486	55	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD28_contig_10264	circular	5.54	10406	24	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD28_contig_105904	circular	NA	14090	22	FALSE	Unclassified	Unclassified	Unclassified	Actinobacteriota	Actinomycetia	Mycobacteriales	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD28_contig_106368	circular	44.89	33459	52	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD28_contig_106732	circular	NA	11914	20	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD28_contig_107412	circular	100	40912	66	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD28_contig_15787	circular	19.6	17817	30	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	2	FALSE	TRUE
WUA_VD28_contig_40594	circular	25.61	20658	34	TRUE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD28_contig_59470	circular	42.28	13542	31	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD28_contig_61265	circular	15.51	14619	21	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD29_contig_54757	circular	100	42744	74	FALSE	Unclassified	Unclassified	Unclassified	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	Unclassified	1	FALSE	TRUE
WUA_VD30_contig_100919	circular	23.24	18273	46	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD30_contig_112134	circular	100	38908	65	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD30_contig_113210	circular	100	45525	70	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD30_contig_113762	circular	26.78	17170	37	FALSE	Unclassified	Unclassified	Unclassified	Actinobacteriota	Actinomycetia	Mycobacteriales	Geodermatophilaceae	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD30_contig_114514	circular	NA	10320	9	TRUE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD30_contig_114519	circular	100	41230	63	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	2	FALSE	TRUE
WUA_VD30_contig_116376	circular	34.13	12905	16	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD30_contig_118704	circular	25.14	20402	32	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD30_contig_22773	circular	NA	16967	41	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD30_contig_41612	circular	100	46739	62	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD30_contig_81955	circular	100	38414	63	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD31_contig_116196	circular	100	36254	48	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD31_contig_116286	circular	100	41287	79	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD31_contig_116388	circular	100	42235	74	FALSE	Unclassified	Unclassified	Unclassified	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium	Unclassified	1	FALSE	TRUE
WUA_VD31_contig_116393	circular	7.49	13805	30	TRUE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	2	FALSE	TRUE
WUA_VD31_contig_116476	circular	22.09	13051	12	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD31_contig_6280	circular	30.67	43673	59	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	2	TRUE	TRUE
WUA_VD31_contig_68086	circular	25.09	10698	16	TRUE	Unclassified	Unclassified	Unclassified	Actinobacteriota	Actinomycetia	Mycobacteriales	Micromonosporaceae	Micromonospora	Micromonospora fulviviridis	1	FALSE	TRUE
WUA_VD31_contig_86733	circular	100	37376	53	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD32_contig_102150	circular	NA	10492	14	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD32_contig_112678	circular	34.53	11055	24	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD32_contig_112905	circular	100	42476	61	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	2	FALSE	TRUE
WUA_VD32_contig_112933	circular	23.73	13848	19	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	2	FALSE	TRUE
WUA_VD32_contig_112935	circular	16.91	16093	27	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD32_contig_25722	circular	39.66	12702	27	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD32_contig_35722	circular	66.14	31933	40	TRUE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD32_contig_43725	circular	100	37969	57	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD32_contig_76453	circular	100	39706	58	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD32_contig_85503	circular	100	41745	71	FALSE	Unclassified	Unclassified	Unclassified	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	Unclassified	1	FALSE	TRUE
WUA_VD32_contig_89676	circular	28.92	17312	23	FALSE	Unclassified	Unclassified	Unclassified	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium favelukesii	1	FALSE	TRUE
WUA_VD33_contig_114502	circular	100	10915	19	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD33_contig_114640	circular	100	16183	21	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	2	FALSE	TRUE
WUA_VD33_contig_25552	circular	NA	10551	15	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD33_contig_29963	circular	22.22	15152	24	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD33_contig_7928	circular	100	16284	22	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD33_contig_80286	circular	100	38464	45	TRUE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	2	FALSE	TRUE
WUA_VD34_contig_102145	circular	7.1	13098	24	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD34_contig_103447	circular	100	34941	48	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD34_contig_125657	circular	95.34	41508	55	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD34_contig_125695	circular	100	39015	63	TRUE	Unclassified	Unclassified	Unclassified	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium	Unclassified	2	FALSE	TRUE
WUA_VD34_contig_126882	circular	100	51924	86	TRUE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD34_contig_127053	circular	22	13545	21	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD34_contig_127308	circular	25.09	14584	23	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD34_contig_127649	circular	100	34919	46	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	2	FALSE	TRUE
WUA_VD34_contig_128070	circular	50.01	48016	69	TRUE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD34_contig_128199	circular	73.87	36228	55	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD34_contig_128315	circular	NA	14520	30	TRUE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	2	FALSE	TRUE
WUA_VD34_contig_128580	circular	33.39	18569	24	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD34_contig_128688	circular	100	34666	54	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD34_contig_128758	circular	44.05	49800	86	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD34_contig_128765	circular	NA	13677	15	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD34_contig_17100	circular	100	39145	59	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD34_contig_21722	circular	NA	10937	20	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD34_contig_24076	circular	NA	11858	29	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD34_contig_34811	circular	9.02	10244	17	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD34_contig_43612	circular	34.79	40822	67	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD34_contig_65412	circular	NA	14796	28	TRUE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD34_contig_66927	circular	100	42075	68	FALSE	Unclassified	Unclassified	Unclassified	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	Unclassified	1	FALSE	TRUE
WUA_VD34_contig_76944	circular	100	70838	113	FALSE	Unclassified	Unclassified	Unclassified	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Unclassified	Unassigned	1	FALSE	TRUE
WUA_VD34_contig_78060	circular	45.35	40629	60	TRUE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	2	FALSE	TRUE
WUA_VD34_contig_81501	circular	36.95	41539	53	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD35_contig_110579	circular	2.91	11117	10	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD35_contig_111870	circular	20.58	12259	19	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	2	FALSE	TRUE
WUA_VD35_contig_112193	circular	100	36340	55	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD35_contig_113005	circular	100	35666	53	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD35_contig_20813	circular	100	41091	71	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD35_contig_23807	circular	100	63031	83	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD35_contig_27629	circular	NA	27270	47	TRUE	Unclassified	Unclassified	Unclassified	Actinobacteriota	Actinomycetia	Streptomycetales	Streptomycetaceae	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD35_contig_33772	circular	100	45045	63	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD35_contig_3573	circular	68.59	45833	84	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD35_contig_42779	circular	100	40916	67	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD35_contig_5163	circular	62.87	37504	57	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD35_contig_53828	circular	9.55	11540	13	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD35_contig_72695	circular	NA	10127	13	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD35_contig_75363	circular	49.31	160757	157	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD35_contig_80512	circular	100	56119	90	FALSE	Unclassified	Unclassified	Unclassified	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium	Phenylobacterium sp002441055	1	FALSE	TRUE
WUA_VD35_contig_90652	circular	9.62	10929	18	FALSE	Unclassified	Unclassified	Unclassified	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Acidovorax_C	Unclassified	1	FALSE	TRUE
WUA_VD36_contig_109743	circular	100	43548	55	TRUE	Unclassified	Unclassified	Unclassified	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Unclassified	Unclassified	2	FALSE	TRUE
WUA_VD36_contig_125147	circular	100	35147	50	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD36_contig_19990	circular	39.64	44602	54	TRUE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	2	FALSE	TRUE
WUA_VD36_contig_27375	circular	100	63712	71	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	2	FALSE	TRUE
WUA_VD36_contig_5332	circular	61.7	46283	82	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD36_contig_85501	circular	100	44271	69	FALSE	Unclassified	Unclassified	Unclassified	Actinobacteriota	Actinomycetia	Mycobacteriales	Pseudonocardiaceae	Amycolatopsis	Unclassified	1	FALSE	TRUE
WUA_VD36_contig_93346	circular	100	36008	58	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD37_contig_100790	circular	8.64	14793	28	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD37_contig_101841	circular	56.65	59970	121	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD37_contig_101948	circular	24.92	16141	35	TRUE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD37_contig_101970	circular	27.36	16234	16	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD37_contig_102426	circular	100	45244	72	FALSE	Caudovirales	Myoviridae	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD37_contig_102886	circular	100	38601	67	FALSE	Unclassified	Unclassified	Unclassified	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	Legionella drancourtii	2	FALSE	TRUE
WUA_VD37_contig_28029	circular	100	35992	49	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	2	FALSE	TRUE
WUA_VD37_contig_50249	circular	100	34582	48	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD37_contig_83119	circular	92.84	39098	55	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD37_contig_98178	circular	61	51975	82	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD37_contig_98813	circular	100	37103	59	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD37_contig_99257	circular	100	46259	60	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD38_contig_2266	circular	100	42044	65	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD38_contig_24327	circular	100	43355	72	FALSE	Unclassified	Unclassified	Unclassified	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	Unclassified	1	FALSE	TRUE
WUA_VD38_contig_43162	circular	22.18	20033	35	TRUE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD38_contig_56133	circular	100	40445	56	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD38_contig_85141	circular	100	45946	82	FALSE	Unclassified	Unclassified	Unclassified	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	Unclassified	1	FALSE	TRUE
WUA_VD38_contig_85558	circular	6.44	11880	28	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD39_contig_19465	circular	100	55873	95	FALSE	Unclassified	Unclassified	Unclassified	Actinobacteriota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Unclassified	1	FALSE	TRUE
WUA_VD39_contig_2810	circular	100	37356	60	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD39_contig_44608	circular	100	37456	59	FALSE	Unclassified	Unclassified	Unclassified	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia	Unclassified	1	FALSE	TRUE
WUA_VD39_contig_70483	circular	100	44941	70	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
